Pattern:1381480 Class_WT:300 //  Sort_WT:7520 --> DIFF_WT:7220
Pattern:1893573 Class_WT:204 //  Sort_WT:7520 --> DIFF_WT:7316
Pattern:1893576 Class_WT:236 //  Sort_WT:7520 --> DIFF_WT:7284
Pattern:1893578 Class_WT:152 //  Sort_WT:7520 --> DIFF_WT:7368
Pattern:1893579 Class_WT:188 //  Sort_WT:7520 --> DIFF_WT:7332
Pattern:1893580 Class_WT:256 //  Sort_WT:7520 --> DIFF_WT:7264
Pattern:1893581 Class_WT:168 //  Sort_WT:7520 --> DIFF_WT:7352
Pattern:1893584 Class_WT:132 //  Sort_WT:7520 --> DIFF_WT:7388
Pattern:1893585 Class_WT:244 //  Sort_WT:7520 --> DIFF_WT:7276
Pattern:1893607 Class_WT:232 //  Sort_WT:7520 --> DIFF_WT:7288
Pattern:1893696 Class_WT:60 //  Sort_WT:7520 --> DIFF_WT:7460
Pattern:1893840 Class_WT:68 //  Sort_WT:7520 --> DIFF_WT:7452
Pattern:1894030 Class_WT:524 //  Sort_WT:7520 --> DIFF_WT:6996
Pattern:1904636 Class_WT:260 //  Sort_WT:7520 --> DIFF_WT:7260
Pattern:1904643 Class_WT:276 //  Sort_WT:7520 --> DIFF_WT:7244
Pattern:1928266 Class_WT:292 //  Sort_WT:7520 --> DIFF_WT:7228
Pattern:1928342 Class_WT:168 //  Sort_WT:7520 --> DIFF_WT:7352
Pattern:1928344 Class_WT:120 //  Sort_WT:7520 --> DIFF_WT:7400
Pattern:1928434 Class_WT:112 //  Sort_WT:7520 --> DIFF_WT:7408
Pattern:1946164 Class_WT:60 //  Sort_WT:7520 --> DIFF_WT:7460
Pattern:1946181 Class_WT:108 //  Sort_WT:7520 --> DIFF_WT:7412
Pattern:1946196 Class_WT:60 //  Sort_WT:7520 --> DIFF_WT:7460
Pattern:1946220 Class_WT:88 //  Sort_WT:20000 --> DIFF_WT:19912
Pattern:1946220 Class_WT:88 //  Sort_WT:7520 --> DIFF_WT:7432
Pattern:1946221 Class_WT:72 //  Sort_WT:7520 --> DIFF_WT:7448
Pattern:1946285 Class_WT:580 //  Sort_WT:20000 --> DIFF_WT:19420
Pattern:1946285 Class_WT:580 //  Sort_WT:7520 --> DIFF_WT:6940
Pattern:1946367 Class_WT:148 //  Sort_WT:7520 --> DIFF_WT:7372
Pattern:1969249 Class_WT:420 //  Sort_WT:7520 --> DIFF_WT:7100
Pattern:1997102 Class_WT:72 //  Sort_WT:7520 --> DIFF_WT:7448
Pattern:1997104 Class_WT:60 //  Sort_WT:7520 --> DIFF_WT:7460
Pattern:1997117 Class_WT:152 //  Sort_WT:7520 --> DIFF_WT:7368
Pattern:1997120 Class_WT:212 //  Sort_WT:7520 --> DIFF_WT:7308
Pattern:1997121 Class_WT:152 //  Sort_WT:7520 --> DIFF_WT:7368
Pattern:1997124 Class_WT:156 //  Sort_WT:7520 --> DIFF_WT:7364
Pattern:1997132 Class_WT:60 //  Sort_WT:7520 --> DIFF_WT:7460
Pattern:1997147 Class_WT:60 //  Sort_WT:7520 --> DIFF_WT:7460
Pattern:1997150 Class_WT:60 //  Sort_WT:7520 --> DIFF_WT:7460
Pattern:1997157 Class_WT:60 //  Sort_WT:7520 --> DIFF_WT:7460
Pattern:1997174 Class_WT:96 //  Sort_WT:7520 --> DIFF_WT:7424
Pattern:1997179 Class_WT:92 //  Sort_WT:7520 --> DIFF_WT:7428
Pattern:1997200 Class_WT:172 //  Sort_WT:7520 --> DIFF_WT:7348
Pattern:1997242 Class_WT:140 //  Sort_WT:7520 --> DIFF_WT:7380
Pattern:1997252 Class_WT:116 //  Sort_WT:7520 --> DIFF_WT:7404
Pattern:1997255 Class_WT:192 //  Sort_WT:7520 --> DIFF_WT:7328
Pattern:1997258 Class_WT:88 //  Sort_WT:7520 --> DIFF_WT:7432
Pattern:1997263 Class_WT:104 //  Sort_WT:7520 --> DIFF_WT:7416
Pattern:1997279 Class_WT:252 //  Sort_WT:7520 --> DIFF_WT:7268
Pattern:1997288 Class_WT:124 //  Sort_WT:7520 --> DIFF_WT:7396
Pattern:1997302 Class_WT:164 //  Sort_WT:7520 --> DIFF_WT:7356
Pattern:1997306 Class_WT:412 //  Sort_WT:7520 --> DIFF_WT:7108
Pattern:1997315 Class_WT:156 //  Sort_WT:7520 --> DIFF_WT:7364
Pattern:1997326 Class_WT:196 //  Sort_WT:7520 --> DIFF_WT:7324
Pattern:1997329 Class_WT:172 //  Sort_WT:7520 --> DIFF_WT:7348
Pattern:1997351 Class_WT:120 //  Sort_WT:7520 --> DIFF_WT:7400
Pattern:1997352 Class_WT:144 //  Sort_WT:7520 --> DIFF_WT:7376
Pattern:1997392 Class_WT:312 //  Sort_WT:7520 --> DIFF_WT:7208
Pattern:1997399 Class_WT:220 //  Sort_WT:7520 --> DIFF_WT:7300
Pattern:1997402 Class_WT:340 //  Sort_WT:7520 --> DIFF_WT:7180
Pattern:1997550 Class_WT:228 //  Sort_WT:7520 --> DIFF_WT:7292
Pattern:1997571 Class_WT:880 //  Sort_WT:7520 --> DIFF_WT:6640
Pattern:1997580 Class_WT:940 //  Sort_WT:7520 --> DIFF_WT:6580
Pattern:1997622 Class_WT:968 //  Sort_WT:7520 --> DIFF_WT:6552
