Pattern:1893573 Class_WT:204 //  Sort_WT:172 --> DIFF_WT:-32
Pattern:1893576 Class_WT:188 //  Sort_WT:156 --> DIFF_WT:-32
Pattern:1893578 Class_WT:152 //  Sort_WT:128 --> DIFF_WT:-24
Pattern:1893579 Class_WT:188 //  Sort_WT:156 --> DIFF_WT:-32
Pattern:1893580 Class_WT:256 //  Sort_WT:236 --> DIFF_WT:-20
Pattern:1893581 Class_WT:168 //  Sort_WT:140 --> DIFF_WT:-28
Pattern:1893584 Class_WT:132 //  Sort_WT:112 --> DIFF_WT:-20
Pattern:1893585 Class_WT:244 //  Sort_WT:220 --> DIFF_WT:-24
Pattern:1893607 Class_WT:232 //  Sort_WT:204 --> DIFF_WT:-28
Pattern:1894030 Class_WT:524 //  Sort_WT:500 --> DIFF_WT:-24
Pattern:1904636 Class_WT:260 //  Sort_WT:172 --> DIFF_WT:-88
Pattern:1904643 Class_WT:276 //  Sort_WT:252 --> DIFF_WT:-24
Pattern:1928266 Class_WT:292 //  Sort_WT:264 --> DIFF_WT:-28
Pattern:1928342 Class_WT:168 //  Sort_WT:156 --> DIFF_WT:-12
Pattern:1928344 Class_WT:120 //  Sort_WT:96 --> DIFF_WT:-24
Pattern:1928400 Class_WT:92 //  Sort_WT:80 --> DIFF_WT:-12
Pattern:1928434 Class_WT:112 //  Sort_WT:96 --> DIFF_WT:-16
Pattern:1946181 Class_WT:108 //  Sort_WT:80 --> DIFF_WT:-28
Pattern:1946285 Class_WT:580 //  Sort_WT:528 --> DIFF_WT:-52
Pattern:1946367 Class_WT:148 //  Sort_WT:128 --> DIFF_WT:-20
Pattern:1997104 Class_WT:40 //  Sort_WT:36 --> DIFF_WT:-4
Pattern:1997117 Class_WT:152 //  Sort_WT:128 --> DIFF_WT:-24
Pattern:1997120 Class_WT:212 //  Sort_WT:188 --> DIFF_WT:-24
Pattern:1997121 Class_WT:152 //  Sort_WT:128 --> DIFF_WT:-24
Pattern:1997124 Class_WT:156 //  Sort_WT:128 --> DIFF_WT:-28
Pattern:1997132 Class_WT:40 //  Sort_WT:12 --> DIFF_WT:-28
Pattern:1997174 Class_WT:96 //  Sort_WT:80 --> DIFF_WT:-16
Pattern:1997179 Class_WT:92 //  Sort_WT:80 --> DIFF_WT:-12
Pattern:1997200 Class_WT:172 //  Sort_WT:156 --> DIFF_WT:-16
Pattern:1997242 Class_WT:140 //  Sort_WT:112 --> DIFF_WT:-28
Pattern:1997252 Class_WT:116 //  Sort_WT:96 --> DIFF_WT:-20
Pattern:1997255 Class_WT:192 //  Sort_WT:172 --> DIFF_WT:-20
Pattern:1997258 Class_WT:88 //  Sort_WT:64 --> DIFF_WT:-24
Pattern:1997263 Class_WT:104 //  Sort_WT:80 --> DIFF_WT:-24
Pattern:1997279 Class_WT:252 //  Sort_WT:220 --> DIFF_WT:-32
Pattern:1997288 Class_WT:124 //  Sort_WT:96 --> DIFF_WT:-28
Pattern:1997302 Class_WT:164 //  Sort_WT:140 --> DIFF_WT:-24
Pattern:1997306 Class_WT:412 //  Sort_WT:404 --> DIFF_WT:-8
Pattern:1997315 Class_WT:156 //  Sort_WT:140 --> DIFF_WT:-16
Pattern:1997326 Class_WT:196 //  Sort_WT:172 --> DIFF_WT:-24
Pattern:1997329 Class_WT:172 //  Sort_WT:156 --> DIFF_WT:-16
Pattern:1997351 Class_WT:120 //  Sort_WT:96 --> DIFF_WT:-24
Pattern:1997352 Class_WT:144 //  Sort_WT:128 --> DIFF_WT:-16
Pattern:1997366 Class_WT:116 //  Sort_WT:96 --> DIFF_WT:-20
Pattern:1997392 Class_WT:312 //  Sort_WT:280 --> DIFF_WT:-32
Pattern:1997399 Class_WT:220 //  Sort_WT:204 --> DIFF_WT:-16
Pattern:1997402 Class_WT:340 //  Sort_WT:320 --> DIFF_WT:-20
Pattern:1997550 Class_WT:228 //  Sort_WT:204 --> DIFF_WT:-24
Pattern:1997571 Class_WT:880 //  Sort_WT:880 --> DIFF_WT:0
Pattern:1997622 Class_WT:968 //  Sort_WT:920 --> DIFF_WT:-48
Pattern:1999076 Class_WT:196 //  Sort_WT:172 --> DIFF_WT:-24
Pattern:1999077 Class_WT:168 //  Sort_WT:160 --> DIFF_WT:-8
Pattern:1999078 Class_WT:172 //  Sort_WT:160 --> DIFF_WT:-12
Pattern:1999082 Class_WT:168 //  Sort_WT:140 --> DIFF_WT:-28
Pattern:2008138 Class_WT:856 //  Sort_WT:824 --> DIFF_WT:-32
Pattern:2008144 Class_WT:116 //  Sort_WT:96 --> DIFF_WT:-20
