Pattern:1381480 Class_WT:300 //  Sort_WT:360 --> DIFF_WT:60
Pattern:1893696 Class_WT:40 //  Sort_WT:80 --> DIFF_WT:40
Pattern:1893840 Class_WT:68 //  Sort_WT:80 --> DIFF_WT:12
Pattern:1946164 Class_WT:40 //  Sort_WT:80 --> DIFF_WT:40
Pattern:1946196 Class_WT:40 //  Sort_WT:80 --> DIFF_WT:40
Pattern:1946221 Class_WT:72 //  Sort_WT:80 --> DIFF_WT:8
Pattern:1969249 Class_WT:420 //  Sort_WT:480 --> DIFF_WT:60
Pattern:1997102 Class_WT:72 //  Sort_WT:160 --> DIFF_WT:88
Pattern:1997147 Class_WT:40 //  Sort_WT:80 --> DIFF_WT:40
Pattern:1997150 Class_WT:40 //  Sort_WT:80 --> DIFF_WT:40
Pattern:1997157 Class_WT:40 //  Sort_WT:80 --> DIFF_WT:40
Pattern:1997580 Class_WT:940 //  Sort_WT:3760 --> DIFF_WT:2820
Pattern:2009212 Class_WT:40 //  Sort_WT:80 --> DIFF_WT:40
Pattern:2255235 Class_WT:156 //  Sort_WT:3760 --> DIFF_WT:3604
Pattern:2592886 Class_WT:96 //  Sort_WT:100 --> DIFF_WT:4
Pattern:2715201 Class_WT:120 //  Sort_WT:160 --> DIFF_WT:40
Pattern:2715834 Class_WT:76 //  Sort_WT:160 --> DIFF_WT:84
Pattern:2742553 Class_WT:332 //  Sort_WT:452 --> DIFF_WT:120
Pattern:2742560 Class_WT:228 //  Sort_WT:320 --> DIFF_WT:92
Pattern:2742561 Class_WT:288 //  Sort_WT:420 --> DIFF_WT:132
Pattern:2742565 Class_WT:152 //  Sort_WT:920 --> DIFF_WT:768
Pattern:2742566 Class_WT:672 //  Sort_WT:1076 --> DIFF_WT:404
Pattern:2742569 Class_WT:320 //  Sort_WT:468 --> DIFF_WT:148
Pattern:2780941 Class_WT:548 //  Sort_WT:3760 --> DIFF_WT:3212
Pattern:2783877 Class_WT:224 //  Sort_WT:528 --> DIFF_WT:304
Pattern:3375214 Class_WT:548 //  Sort_WT:600 --> DIFF_WT:52
Pattern:3842337 Class_WT:456 //  Sort_WT:800 --> DIFF_WT:344
